Estado/Municípios,Nº do decreto,Início,Fim,Classificação,Politicas
Niterói/RJ,13570,24/04/2020,,Outros,cria grupo de trabalho para apoio à retomada das atividades econômicas
Niterói/RJ,13570,25/04/2020,,Outros,cria grupo de trabalho para apoio à retomada das atividades econômicas
Niterói/RJ,13572,28/04/2020,,Medidas de Prevenção,dispõe sobre a prorrogação das medidas restritivas de isolamento para redução da transmissão do novo coronavírus
Volta Redonda/RJ,16057,16/03/2020,,Medidas de Prevenção,dispõe sobre medidas temporárias de prevenção do contágio do novo coronavírus
Volta Redonda/RJ,16058,16/03/2020,,Outros,suspende todos os pedidos de férias dos profissionais de saúde do Sistema Municipal de Saúde
Volta Redonda/RJ,16059,16/03/2020,,Outros,recomendação de suspensão de procedimentos médicos eletivos
Volta Redonda/RJ,16060,16/03/2020,,Outros,suspensão de procedimentos cirúrgicos eletivos nos hospitais gerais públicos
Volta Redonda/RJ,16061,16/03/2020,,Medidas de Prevenção,Estabelece normas de conduta e recomendações para prevenção e controle de infecções pelo novo Coronavírus
Volta Redonda/RJ,16073,19/03/2020,,Servidores em grupo de risco,estabelece regras para servidores pertencentes a grupos de risco
Volta Redonda/RJ,16082,20/03/2020,,Fechamento de comércio,determinações sobre o fechamento de estabelecimentos comerciais
Volta Redonda/RJ,16083,20/03/2020,,Outros,prorroga o pagamento de taxas de água e esgoto e IPTU
Volta Redonda/RJ,16084,21/03/2020,,Regras de Isolamento,novas regras de isolamento e fechamento de estabelecimentos comerciais
Volta Redonda/RJ,16085,,,Outros,procedimentos para fiscalização e autuação
Volta Redonda/RJ,16086,23/03/2020,,Funcionamento de supermercados,regras para funcionamento de supermercados e outros estabelecimentos
Volta Redonda/RJ,16089,25/03/2020,,Outros,suspensão de prazos administrativos
Volta Redonda/RJ,16090,29/03/2020,,Medidas de Prevenção,novos procedimentos de restrições para conter o novo coronavírus
Volta Redonda/RJ,16094,30/03/2020,,Outros,"prorrogação de IPTU, ISS e outras medidas fiscais"
Volta Redonda/RJ,16107,03/04/2020,,Medidas de Prevenção ou Regras de Isolamento?,prorrogação das medidas restritivas e de distanciamento social
Volta Redonda/RJ,16121,09/04/2020,21/04/2020,Regras de Isolamento,ampliação do prazo de distanciamento social até 21/04
Volta Redonda/RJ,16124,17/04/2020,,Uso de Máscara,obrigatoriedade do uso de máscaras
Volta Redonda/RJ,16128,17/04/2020,27/04/2020,Medidas de Prevenção,prorrogação das medidas restritivas até 27/04
